Date,Gender, Annual Income ,Dealer_Name,Company,Model,Engine,Transmission,Color, Price ($) ,Body Style,Dealer_Region,State
1/2/2022,Male,13500.00,Buddy Storbeck's Diesel Service Inc,Ford,Expedition,DoubleÂ Overhead Camshaft,Auto,Black,26000.00,SUV,Middletown,New York 
1/2/2022,Male,1480000.00,C & M Motors Inc,Dodge,Durango,DoubleÂ Overhead Camshaft,Auto,Black,19000.00,SUV,Aurora,Colorado
1/2/2022,Male,1035000.00,Capitol KIA,Cadillac,Eldorado,Overhead Camshaft,Manual,Red,31500.00,Passenger,Greenville,South Carolina
1/2/2022,Male,13500.00,Chrysler of Tri-Cities,Toyota,Celica,Overhead Camshaft,Manual,Pale White,14000.00,SUV,Pasco,Washington
1/2/2022,Male,1465000.00,Chrysler Plymouth,Acura,TL,DoubleÂ Overhead Camshaft,Auto,Red,24500.00,Hatchback,Janesville,Wisconsin
1/2/2022,Male,850000.00,Classic Chevy,Mitsubishi,Diamante,Overhead Camshaft,Manual,Pale White,12000.00,Hatchback,Scottsdale,Arizona
1/2/2022,Male,1600000.00,Clay Johnson Auto Sales,Toyota,Corolla,Overhead Camshaft,Manual,Pale White,14000.00,Passenger,Austin,Texas
1/2/2022,Male,13500.00,U-Haul CO,Mitsubishi,Galant,DoubleÂ Overhead Camshaft,Auto,Pale White,42000.00,Passenger,Austin,Texas
1/2/2022,Male,815000.00,Rabun Used Car Sales,Chevrolet,Malibu,Overhead Camshaft,Manual,Pale White,82000.00,Hardtop,Pasco,Washington
1/2/2022,Female,13500.00,Rabun Used Car Sales,Ford,Escort,DoubleÂ Overhead Camshaft,Auto,Pale White,15000.00,Passenger,Scottsdale,Arizona
1/2/2022,Male,13500.00,Race Car Help,Acura,RL,Overhead Camshaft,Manual,Pale White,31000.00,SUV,Austin,Texas
1/2/2022,Male,13500.00,Race Car Help,Nissan,Pathfinder,DoubleÂ Overhead Camshaft,Auto,Pale White,46000.00,Hardtop,Pasco,Washington
1/2/2022,Male,885000.00,Saab-Belle Dodge,Mercury,Grand Marquis,DoubleÂ Overhead Camshaft,Auto,Black,9000.00,SUV,Aurora,Colorado
1/2/2022,Male,13500.00,Scrivener Performance Engineering,BMW,323i,DoubleÂ Overhead Camshaft,Auto,Pale White,15000.00,Hatchback,Greenville,South Carolina
1/2/2022,Male,722000.00,Buddy Storbeck's Diesel Service Inc,Chrysler,Sebring Coupe,Overhead Camshaft,Manual,Pale White,26000.00,Sedan,Middletown,New York 
1/2/2022,Male,746000.00,C & M Motors Inc,Subaru,Forester,Overhead Camshaft,Manual,Pale White,17000.00,Hatchback,Aurora,Colorado
1/2/2022,Female,535000.00,Capitol KIA,Hyundai,Accent,Overhead Camshaft,Manual,Black,18000.00,Hatchback,Greenville,South Carolina
1/2/2022,Female,570000.00,Chrysler of Tri-Cities,Cadillac,Eldorado,DoubleÂ Overhead Camshaft,Auto,Pale White,31000.00,Passenger,Pasco,Washington
1/2/2022,Male,685000.00,Chrysler Plymouth,Toyota,Land Cruiser,DoubleÂ Overhead Camshaft,Auto,Pale White,33000.00,SUV,Janesville,Wisconsin
1/2/2022,Male,455000.00,Classic Chevy,Honda,Accord,DoubleÂ Overhead Camshaft,Auto,Pale White,21000.00,Sedan,Scottsdale,Arizona
1/2/2022,Male,13500.00,Clay Johnson Auto Sales,Toyota,4Runner,Overhead Camshaft,Manual,Black,25000.00,Sedan,Austin,Texas
1/2/2022,Male,2500000.00,Classic Chevy,Infiniti,I30,DoubleÂ Overhead Camshaft,Auto,Black,21000.00,Hardtop,Austin,Texas
1/2/2022,Male,585000.00,Diehl Motor CO Inc,Audi,A4,Overhead Camshaft,Manual,Pale White,12000.00,Hardtop,Middletown,New York 
1/2/2022,Male,920000.00,Star Enterprises Inc,Porsche,Carrera Cabrio,DoubleÂ Overhead Camshaft,Auto,Pale White,18000.00,Passenger,Pasco,Washington
1/2/2022,Male,672000.00,Suburban Ford,Volkswagen,Jetta,DoubleÂ Overhead Camshaft,Auto,Pale White,22000.00,Passenger,Janesville,Wisconsin
